site,category,measurement_src,month,total_j,avg_j,jobs
lille,IA,unknown,2026-03,451.57,8.520188679245283,53
lille,IA,unknown,2026-04,1487.5431999999998,11.805898412698411,126
lille,IA,unknown,2026-05,1014.58,4.611727272727273,220
lille,ML,unknown,2026-04,2900.059,17.262255952380954,168
lille,MLOPS,unknown,2026-04,158.53,15.853,10
nancy,HPC,unknown,2026-06,1396.0087422999998,107.38528786923075,13
nancy,IA,unknown,2026-03,451.57,8.520188679245283,53
nancy,IA,unknown,2026-04,1487.5431999999998,11.805898412698411,126
nancy,IA,unknown,2026-05,1014.58,4.611727272727273,220
nancy,ML,unknown,2026-04,2900.059,17.262255952380954,168
nancy,MLOPS,unknown,2026-04,158.53,15.853,10
rennes,IA,unknown,2026-03,451.57,8.520188679245283,53
rennes,IA,unknown,2026-04,1487.5431999999998,11.805898412698411,126
rennes,IA,unknown,2026-05,1014.57,4.831285714285714,210
rennes,ML,unknown,2026-04,2900.059,17.262255952380954,168
rennes,MLOPS,unknown,2026-04,158.53,15.853,10
